name,location_desc,county,size,lat,lon,species

Ashton Reservoir,Tributary of Henrys Fork Snake River,Fremont,371.6 acres,44.095351,-111.4951816,"Yellow Perch (Perca flavescens); Brown Trout (Salmo trutta); Rainbow Trout (Oncorhynchus mykiss); Cottus (Cottus); Longnose Dace (Rhinichthys cataractae); Redside Shiner (Richardsonius balteatus); Utah Chub (Gila atraria); Utah Sucker (Catostomus ardens)"
Becker Pond Ryder Park Pond,Snake River Drainage,Bonneville,1.4 acres,43.467037,-112.071507,"Catfish (Ictalurus furcatus); Rainbow Trout (Oncorhynchus mykiss)"
Big Lost River,Tributary of Dry Channel Big Lost River,"Butte, Custer",134.9 mi.,43.8088913,-113.3897594,"Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Mountain Whitefish (Prosopium williamsoni); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Shorthead Sculpin (Cottus confusus); Speckled Dace (Rhinichthys osculus); Kokanee (Oncorhynchus nerka); Cottus (Cottus); Dace (Rhinichthys); Brown Trout (Salmo trutta)"
Birch Creek,Lost River Drainage,"Butte, Clark, Lemhi",46 mi.,42.228248,-111.7249543,"Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Cottus (Cottus); Redside Shiner (Richardsonius balteatus)"
Blue Creek Reservoir,Tributary of Blue Creek,Fremont,8.4 acres,44.2238026,-111.6116272,"Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Largescale Sucker (Catostomus macrocheilus); Northern Pikeminnow (Ptychocheilus oregonensis)"
East Fork Big Lost River,Tributary of Big Lost River,Custer,27.9 mi.,43.9002093,-114.0126941,"Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Mountain Whitefish (Prosopium williamsoni); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Arctic Grayling (Thymallus arcticus); Cottus (Cottus)"
East Harriman Fish Pond,Henry's Fork Drainage,Fremont,30.6 acres,44.312361,-111.419363,"Rainbow Trout (Oncorhynchus mykiss)"
Falls River,Tributary of Henrys Fork Snake River,Fremont,64.2 mi.,44.1113,-111.448084,"Brook Trout (Salvelinus fontinalis); Mountain Whitefish (Prosopium williamsoni); Rainbow Trout (Oncorhynchus mykiss); Brown Trout (Salmo trutta); Cutthroat Trout (Oncorhynchus clarkii)"
"Henrys Fork Snake River Henrys Fork, North Fork Snake River",Tributary of Snake River,"Fremont, Madison",112.5 mi.,43.825314,-111.905074,"Brown Trout (Salmo trutta); Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Mountain Whitefish (Prosopium williamsoni); Rainbow Trout (Oncorhynchus mykiss); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Utah Chub (Gila atraria); Yellow Perch (Perca flavescens); Lake Trout (Salvelinus namaycush); Kokanee (Oncorhynchus nerka); Splake (Salvelinus namaycush x fontinalis); Catostomus (Catostomus)"
Henrys Lake,Tributary of Henrys Fork Snake River,Fremont,"6,076.9 acres",44.6331158,-111.4018734,"Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Cottus (Cottus); Utah Chub (Gila atraria); Kokanee (Oncorhynchus nerka); Redside Shiner (Richardsonius balteatus)"
Horseshoe Lake,Henry's Fork Drainage,Fremont,36.1 acres,44.1604045,-111.1037959,"Rainbow Trout (Oncorhynchus mykiss); Arctic Grayling (Thymallus arcticus)"
Island Park Reservoir,Tributary of Henrys Fork Snake River,Fremont,"7,280.1 acres",44.4171939,-111.4821502,"Kokanee (Oncorhynchus nerka); Rainbow Trout (Oncorhynchus mykiss); Brook Trout (Salvelinus fontinalis); Cutthroat Trout (Oncorhynchus clarkii); Largescale Sucker (Catostomus macrocheilus); Utah Chub (Gila atraria); Utah Sucker (Catostomus ardens); Yellow Perch (Perca flavescens); Mountain Whitefish (Prosopium williamsoni)"
Lava Lake,Snake River Drainage,Blaine,52.1 acres,43.3839641,-113.7186143,"Rainbow Trout (Oncorhynchus mykiss)"
Little Lost River,Lost River Drainage,Butte,48.7 mi.,44.0569311,-113.2204581,"Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Bull Trout (Salvelinus confluentus); Bull Trout x Brook Trout (Salvelinus fontinalis x confluentus); Cottus (Cottus)"
Mackay Reservoir,Tributary of Big Lost River,Custer,"1,139.3 acres",43.9593282,-113.6966172,"Kokanee (Oncorhynchus nerka); Rainbow Trout (Oncorhynchus mykiss); Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Speckled Dace (Rhinichthys osculus); Yellow Perch (Perca flavescens); Mountain Whitefish (Prosopium williamsoni)"
North Fork Big Lost River,Tributary of Big Lost River,Custer,24.6 mi.,43.8967109,-114.1639621,"Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Cutthroat Trout (Oncorhynchus clarkii); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Mountain Whitefish (Prosopium williamsoni); Cottus (Cottus)"
Palisades Reservoir,Tributary of South Fork Snake River,Bonneville,"15,949.1 acres",43.234735,-111.1145965,"Kokanee (Oncorhynchus nerka); Lake Trout (Salvelinus namaycush); Brown Trout (Salmo trutta); Cutthroat Trout (Oncorhynchus clarkii); Mountain Whitefish (Prosopium williamsoni); Rainbow Trout (Oncorhynchus mykiss); Utah Chub (Gila atraria); Utah Sucker (Catostomus ardens)"
Paul Reservoir Modoc Paul Reservoir,Tributary of East Modoc Creek,Clark,8.5 acres,44.461442,-112.335827,"Cutthroat Trout (Oncorhynchus clarkii)"
Rexburg City Ponds Rexburg Nature Park Ponds,Henry's Fork Drainage,Madison,6.5 acres,43.835444,-111.802407,"Yellow Perch (Perca flavescens); Rainbow Trout (Oncorhynchus mykiss)"
Ririe Reservoir,Tributary of Willow Creek,Bonneville,"1,414.5 acres",43.5195994,-111.7221254,"Kokanee (Oncorhynchus nerka); Yellow Perch (Perca flavescens); Smallmouth Bass (Micropterus dolomieu); Rainbow Trout (Oncorhynchus mykiss); Brook Trout (Salvelinus fontinalis); Cutthroat Trout (Oncorhynchus clarkii); Lake Trout (Salvelinus namaycush); Tiger Trout (Salvelinus fontinalis x Salmo trutta); Utah Chub (Gila atraria); Utah Sucker (Catostomus ardens); Walleye (Stizostedion vitreum); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Bluehead Sucker (Catostomus discobolus); Brown Trout (Salmo trutta); Largescale Sucker (Catostomus macrocheilus); Catostomus (Catostomus); Largemouth Bass (Micropterus salmoides)"
"Sand Creek Reservoir, Sand Creek WMA Pond #4",Henry's Fork Drainage,Fremont,100.2 acres,44.204212,-111.626642,"Rainbow Trout (Oncorhynchus mykiss)"
South Fork Snake River Snake River,Tributary of Snake River,"Bonneville, Jefferson, Madison",128.9 mi.,,,"Catfish (Ictalurus furcatus); Rainbow Trout (Oncorhynchus mykiss)"
Star Hope Creek West Fork Big Lost River,Tributary of East Fork Big Lost River,Custer,17.1 mi.,43.744553,-113.940332,"Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Arctic Grayling (Thymallus arcticus); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Salmon And Trout (Oncorhynchus); Cottus (Cottus)"
Teton River,Tributary of Henrys Fork Snake River,"Fremont, Madison, Teton",81.5 mi.,43.910751,-111.4245507,"Cutthroat Trout (Oncorhynchus clarkii); Brook Trout (Salvelinus fontinalis); Mountain Whitefish (Prosopium williamsoni); Rainbow Trout (Oncorhynchus mykiss); Rainbow x Cutthroat Trout (Oncorhynchus clarkii x mykiss); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Brown Trout (Salmo trutta); Catostomus (Catostomus); Cottus (Cottus); Tiger Trout (Salvelinus fontinalis x Salmo trutta); Utah Sucker (Catostomus ardens); Yellow Perch (Perca flavescens); Bluehead Sucker (Catostomus discobolus); Mottled Sculpin (Cottus bairdi)"
Trail Creek Pond Victor Kids Pond,Henry's Fork Drainage,Teton,1.9 acres,43.571571,-111.075560,"Rainbow Trout (Oncorhynchus mykiss)"
Unnamed Lake Sand Creek WMA Pond #1,Tributary of Blue Creek,Fremont,13.3 acres,44.214702,-111.615826,"Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss)"
Warm River,Tributary of Henrys Fork Snake River,Fremont,36.5 mi.,44.117457,-111.3218556,"Brown Trout (Salmo trutta); Brook Trout (Salvelinus fontinalis); Mountain Whitefish (Prosopium williamsoni); Rainbow Trout (Oncorhynchus mykiss); Mottled Sculpin (Cottus bairdi); Paiute Sculpin (Cottus beldingi)"
Wildhorse Creek,Tributary of East Fork Big Lost River,Custer,14.6 mi.,43.8807143,-114.0965499,"Brook Trout (Salvelinus fontinalis); Rainbow Trout (Oncorhynchus mykiss); Mountain Whitefish (Prosopium williamsoni); Cutthroat Trout (Oncorhynchus clarkii); Rainbow x Cutthroat Trout (Oncorhynchus mykiss x clarkii); Salmon And Trout (Oncorhynchus); Cottus (Cottus)"
